COMMENT_ID,CONTENT,CLASS
1,+447935454150 lovely girl talk to me xxx﻿,spam
2,I always end up coming back to this song<br />﻿,ham
3,"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿",spam
4,Cool﻿,ham
5,Hello I&#39;am from Palastine﻿,spam
6,Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿,ham
7,Go check out my rapping video called Four Wheels please ❤️﻿,spam
8,Almost 1 billion﻿,ham
9,Aslamu Lykum... From Pakistan﻿,spam
10,Eminem is idol for very people in España and Mexico or Latinoamerica﻿,ham
11,Help me get 50 subs please ﻿,spam
12,i love song :)﻿,ham
13,"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿",spam
14,The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿,ham
15,The boyfriend was Charlie from the TV show LOST ﻿,ham
16,"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿",spam
17,Take a look at this video on YouTube:﻿,spam
18,Check out our Channel for nice Beats!!﻿,spam
19,Rihanna and Eminem together are unstoppable.﻿,ham
20,Check out this playlist on YouTube:﻿,spam
21,This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿,ham
22,like please﻿,spam
23,"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿",ham
24,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿,ham
25,"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿",spam
26,Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿,spam
27,Check out this playlist on YouTube:﻿,spam
28,HUH HYUCK HYUCK IM SPECIAL WHO&#39;S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.﻿,spam
29,"You exactly who u want to be,watching your favourite rappers on tv﻿",ham
30,Rihanna is absolutely gorgeous in this video.﻿,ham
31,Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿,spam
32,"Don&#39;t love someone soo much, love the way u lie..﻿",ham
33,one of the BEST SONGS in music history﻿,ham
34,Check out this playlist on YouTube:﻿,spam
35,Check out this video on YouTube:﻿,spam
36,Check out this video on YouTube:﻿,spam
37,No-I hate The Way U LIe!!﻿,ham
38,Fuck Eminem. Bieber is the best &lt;3﻿,ham
39,Check out this playlist on YouTube:chcfcvzfzfbvzdr﻿,spam
40,Check out this playlist on YouTube: ﻿,spam
41,Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿,spam
42,Check out this video on YouTube:﻿,spam
43,Check out this video on YouTube<br /><br /><br />﻿,spam
44,CHECK OUT THE NEW REMIX !!!<br />CLICK CLICK !!﻿,spam
45,Check out this playlist on YouTube:﻿,spam
46,I personally have never been in a abusive relationship. I probably never will. I don&#39;t hit women. Mom has my dad used to hit my mom before he left. I can relate I&#39;m writing about one at the moment subscribe to hear it. EVERY fan counts.﻿,spam
47,Love😘❤💖﻿,ham
48,"Haha, I can&#39;t believe how many kids listen to Eminem.  You kids know that he does drugs and ends high in jail. I wonder why he never ended OD. ﻿",ham
49,plese subscribe to me﻿,spam
50,Check out this video on YouTube:﻿,spam
51,"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",spam
52,this is the 2nd most best song when im gone by m&amp;m﻿,ham
53,Check out this video on YouTube:﻿,spam
54,"WE GO FOR 1,000,000,000 FOR EMINEM﻿",ham
55,Eminem and Rihanna sing the song very well.﻿,ham
56,Subscribe me Secret videos :D﻿,spam
57,Check out this video on YouTube:﻿,spam
58,Check out this video on YouTube:but I&#39;m not Rhinnah﻿,spam
59,Subscribe to me for clean Eminem!,spam
60," Hey youtubers... {**}I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the           music world. {**}I dont have any money to advertise my channel, {**}If you could just visit my channel, comment on my video or subscribe, that would be great.... {**}It will only be few seconds of your life..... {**}Thank u to all the people who just gave me a chance l really appreciate it ",spam
61,LOVE THE WAY YOU LIE ..&quot;﻿,ham
62,Check out this video on YouTube:﻿,spam
63,This guy win dollars sleeping... m m m he loves the planet its full of RETARDS,spam
64,Check out our cover of this song!,spam
65,Check out this video on YouTube:﻿,spam
66,goot﻿,ham
67,2015 but Im still listening to this!﻿,ham
68,"How is this the most watched Eminem video, it beats not afraid? ﻿",ham
69,Check out my channel for funny skits! Thanks!,spam
70,hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,spam
71,please read this please! i am a country singer who is trying to become someone. so if you would like my videos please. just type... boys round here by country girl (only on computer) wasting all these tears e.t. please subscribe and like,spam
72,Check out this video on YouTube:﻿,spam
73,"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!",spam
74,CHECK OUT Eminem - Rap God LYRIC VIDEO,spam
75,Love this song﻿,ham
76,"Rihana, Love Me. :(﻿",ham
77,like this comment then type 1337,spam
78,Is that Charlie from lost?<br />﻿,ham
79,who the fuck cheats on megan fox﻿,ham
80,that is megan fox﻿,ham
81,I love music﻿,ham
82,like this comment then type 1337,spam
83,❤❤❤❤❤❤❤﻿,ham
84,"hot,hot﻿",ham
85,Check out this video on YouTube:﻿,spam
86,"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",spam
87,this fucking song like a&#39;n oreo the only white part is the good 1﻿,ham
88,"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿",ham
89,"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",spam
90,Check Out The New Hot Video By Dante B Called Riled Up,spam
91,Check Out The New Hot Video By Dante B Called Riled Up,spam
92,"Still listening,still same pleasure﻿",ham
93,▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌ FACEBOOK PASSWORD HACK 2013! facebook-pass-hack2013.blogspot.com ONLY 100% WORKING SOFTWARE FOR HACKING ANY FACEBOOK PASSWORD! It&#39;s FREE for download and breaks any password in 10-15 minutes! 100% virus free! For details and FREE DOWNLOAD please visit facebook-pass-hack2013.blogspot.com ▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌,spam
94,I love you!❤✨﻿,ham
95,2010? The time past so fast ..﻿,ham
96,"Hey everyone, I&#39;m Dakoda Bigelow.  I&#39;m a 17 year old singer, rapper and producer.  I&#39;ve gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won&#39;t regret it :)  Please thumbs this up so more people can see it!  Thanks for the support.",spam
97,#2015 FUCK YEAH﻿,ham
98,eminem is a ginius stop!﻿,ham
99,The rap: cool     Rihanna: STTUUPID﻿,ham
100,Just gonna stand there and hear me cry ..﻿,ham
101,Love﻿,ham
102,Feels and emotions in this song...God damn﻿,ham
103,all u should go check out j rants vi about eminem,spam
104,MEGAN FOX AND EMINEM TOGETHER IN A VIDEO  DOESNT GET BETTER THAN THAT﻿,ham
105,"Check out this video on YouTube: <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Eminem"">#Eminem</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Lovethewayyoulie"">#Lovethewayyoulie</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RapGod"">#RapGod</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23King"">#King</a> ﻿",spam
106,"yo I know nobody will probably even read this..  But I’m gonna type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You",spam
107,best song﻿,ham
108, subscribe to my feed,spam
109,"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !",spam
110,Check out Em&#39;s dope new song monster here: /watch?v=w6gkM-XNY2M  MMLP2 FTW :),spam
111,  Check out my SEXY VIDEO :*,spam
112,  Check out my SEXY VIDEO :*,spam
113,Is that Charlie from lost?﻿,ham
114,Anyone else notice that Megan Fox is in this video?﻿,ham
115,Do you need more instagram followers or photo likes? Check out IGBlast.com and get em in minutes!,spam
116,Check Out The New Hot Video By Dante B Called Riled Up,spam
117,Check Out The New Hot Video By Dante B Called Riled Up,spam
118,"yo I know nobody will probably even read this..  but, Imma type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You",spam
119,"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters.",spam
120,WATCH MY VIDEOS AND SUBSCRIBE,spam
121,:D subscribe to me for daily vines,spam
122,LOVE IT!!!!!!!﻿,ham
123,Hay dakota u earned a subscribee,spam
124,"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace.",spam
125,Check Out The New Hot Video By Dante B Called Riled Up,spam
126,I hate rap and I like this song﻿,ham
127,Love the way you lie - Driveshaft﻿,ham
128,2010:(﻿,ham
129,"1,000,000 VIEWS NEAR﻿",ham
130,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Chillpal . Sturdy . Astauand . Johackle . Chorenn . Ethosien . Changeable . Public . Noxu . Ploosnar . Looplab . Hoppler . Delicious . False . Scitenoa . Locobot . Heartbreaking . Thirsty . Reminiscent",spam
131,this song is NICE﻿,ham
132,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Busyglide . Sasaroo . Sore . Chillpal . Axiomatic . Naperone . Mere . Undesirable . Agreeable . Encouraging . Imperfect . Roasted . Insidious . Modgone . Quickest . Trelod . Keen . Fresh . Economic . Bocilile",spam
133,Sick Music for sick females﻿,ham
134,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave",spam
135,LOVE TROP FORT VOTRE  clip﻿,ham
136,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Waratel . Misty . Exciting . Swoquix . Acaer . Chillpal . Tupacase . Arrowgance . Lively . Hard . Idiotic . Bored . Cool . Ablaze . Crabby . Aloidia . Cheilith . Feandra . Useless . Ploosnar",spam
137,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Ignorant . Wavefire . Reiltas . Astauand . Skizzle . Jovaphile . Swooflia . Grynn . Excellent . Slimy . Gabby . Nalpure . Lucky . Glozzom . Depressed . Better . Deep . Sinpad . Stereotyped . Toximble",spam
138,Eminem et Rihana trop belle chanson﻿,ham
139,this song is better then monster by eminem﻿,ham
140,He is good boy!!!<br />I am krean I like to eminem~!~﻿,ham
141,it is wonderful﻿,ham
142,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow",spam
143,Share Eminem&#39;s Artist of the Year video so he can win. We could see a performance and acceptance speech. Like this comment so everyone can see.  2014 =  Year of Eminem,spam
144,watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA,spam
145,Check out this video on YouTube:<br /><br />Eminem is amazing. ﻿,spam
146,awesome song ever﻿,ham
147,love﻿,ham
148,No long paragraph just check out my song called &quot;Fire&quot;.,spam
149,Check out this video on YouTube:﻿,spam
150,"Check out this video on YouTube: <a href=""http://www.youtube.com/user/jlimvuth"">http://www.youtube.com/user/jlimvuth</a> ... Eminem ft Rihanna - Love the way you lie﻿",spam
151,"do you guys know, there&#39;s a part two of this song! :D﻿",ham
152,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Memory Ferirama Besloor Shame Eggmode Wazzasoft Sasaroo Reiltas Moderock Plifal Shorogyt Value Scale Qerrassa Qiameth Mogotrevo Hoppler Parede Yboiveth Drirathiel",spam
153,"Hey, it&#39;s Charlie from Lost﻿",ham
154,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Wazzasoft Industry Sertave Wind Tendency Order Humor Unelind Operation Feandra Chorenn Oleald Claster Nation Industry Roll Fuffapster Competition Ociramma Quality",spam
155,Check out this video on YouTube:﻿,spam
156,"I guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him.... ﻿",ham
157,watch youtube video &quot;EMINEM -YTMA artist of the year&quot; plz share to vote!!!,spam
158,"Made five years ago and people still don&#39;t understand the message this song is conveying. For those of you who don&#39;t, understand that domestic violence is no game, women like the fictional one in this video do exist. Living their lives with a man who abuses her, but still chooses to stay for not the love, but for the sexual feeling he gives her. This is quite sad, actually. ﻿",ham
159,5 years and i still dont get the music video help someone?﻿,ham
160,Please check out my New Song (Music Video) AD - Don&#39;t Play,spam
161,Tell us the title so i can like and subscribe your music fgw please,spam
162,This video is kinda close to 1 million  views <br />﻿,ham
163,Fuck you Eminem﻿,ham
164,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The metal drews the reflective effect. Why does the expansion intervene the hilarious bit? The sneeze witnesss the smoke.",spam
165,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",spam
166,2008-2010 were the years for pop﻿,ham
167,sorry but eminmem is a worthless wife beating bastard﻿,ham
168,  Eminem is the king of rap  Micheal Jackson is the king of pop  If you also wanna go hard and wanna be the person of first class fame just check out Authenticviews*com and be famous just within days !! yO ~,spam
169,so spousal abusue cool that&#39;s great﻿,ham
170,she is megan fox?because she is very similar﻿,ham
171,"Holy crap. 800,000,000 views?!﻿",ham
172,eminem - RIHANNA﻿,ham
173,LOVE THIS SONG!!!﻿,ham
174,What nicei⛺♥♥♥♥﻿,ham
175,I like this song very much﻿,ham
176,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  When does the flimsy slip facilitate the manager? How does the noise set goals the anxious regret? How does the actually loss retrieve the smile?",spam
177,I love it and my mom to﻿,ham
178,Who is watching in 2015 like﻿,ham
179,Please check out my New Song (MUSIC VIDEO) AD - Dont Play,spam
180,amazing song﻿,ham
181,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the wood photograph the husky breath? When does the act retain the delightful system? The rhythm fabricates the scintillating harbor.",spam
182,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The cook officiates the tax. The walk judges the amount. Why does the ink train the valuable increase?",spam
183,check out my Eminem &amp; Kid Cudi M a s h up /watch?v=XYTcq5NzMuA,spam
184,I like it﻿,ham
185,"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!",spam
186,"This past Christmas my dad passed away, to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i&#39;m at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times, I can&#39;t promise you professionally produced music, but I can promise REAL lyrics. Just click on my picture. Thanks, and thumbs up so others may see?",spam
187,"••••►►My name is George and let me tell u EMINEM is my idol my inspiration, I&#39;ve listen to him growing up, I never thou I would love rap this much But I thank him for helping me find my dream. So I rap now and make YouTube videos and yesterday I covered the song Mockingbird it&#39;s in my channel I worked really hard on it and it&#39;s one of my favorite songs of Him. So please go check it out and subscribe it would mean the world to me n sorry for the spam ◄◄••­•• don&#39;t hate I&#39;m not Eminem",spam
188,"love the way you lie featuring rhianna, hes an awesome rapper!!! shes an awesome singer!!!﻿",ham
189,Eminem is my insperasen and fav﻿,ham
190,e.e....everyone could check out my channel.. dundundunnn,spam
191,"Every collaboration between them, we know it will be number 1 ﻿",ham
192,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the answer rehabilitate the blushing limit? The push depreciateds the steel. How does the beautiful selection edit the range?",spam
193,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the view disclose the macho lift? Why does the letter frame the thundering cause? Why does the talk prevent the conscious memory?",spam
194,good music﻿,ham
195,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language.",spam
196,if you need youtube subscriber mail hermann buchmair on fb,spam
197,is it bad that my realtionship is just like this lol﻿,ham
198,This video deserves <b>1B</b> views!!!﻿,ham
199,2015 and more....﻿,ham
200,best song ever (y)﻿,ham
201,I could hear this for years ;3﻿,ham
202,Who is still watching in 2015﻿,ham
203,I wish that guy wasn&#39;t so protective geeze﻿,ham
204,super rihanna﻿,ham
205,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ CHECK OUT MY CHANNEL ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬,spam
206,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",spam
207,Rihanna is so beautiful and amazing ♥♥♥♥♥love her so much♥♥♥♥ forever RiRi fan ♥ ♥ ♥ ♥ ♥ ♥ ﻿,ham
208,fav.﻿,ham
209,"HEY GUYS!!! ❤❤❤❤❤❤❤  BEFORE YOU IGNORE ME, PLEASE, GIVE ME A CHANCE!  My name is Yuliya, I make COVERS. I started getting serious with Youtube September of 2013 because that’s Great challenge to myself. MY DREAM was to become a singer. Youtube helps me keep up! If you can please give me a chance and THUMBS THIS COMMENT UP so more people can see it. I swear I&#39;ll appreciate it. SUBSCRIBE PLEASE!!!  ❤❤❤ LOVE YOU!!! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ XOXO ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ ",spam
210,Check out this video on YouTube:﻿,spam
211,Every single one of his songs brings me back to place I can never go back to and it hurts so bad inside﻿,ham
212,I love your songs eminem your the rap god﻿,ham
213,SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG   SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG,spam
214,I cried this song bringing back some hard memories﻿,ham
215,subcribe to us an we will subscribe back,spam
216,song is bad﻿,ham
217,CHECK OUT MY COVER OF LOVE THE WAY YOU LIE PLEASE!!,spam
218,check out fantasy music    right here -------&gt; the1fantasy  good music man.,spam
219,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the war illustrate the exclusive space? The mountain refers the helpless death. The tax reviews the special music.",spam
220,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The loud authority improves the canvas. When does the mother repair the uppity learning? The substantial cook derives the harbor.",spam
221,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the burst render the symptomatic bite? The knowledge briefs the narrow thought. How does the eager sky transmit the crush?",spam
222,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mammoth waste achieve the shock? How does the limit reduce the delicate minute? How does the meaty scale adapt the oil?",spam
223,Charlie from LOST?﻿,ham
224,"What the hell this song is already five years old?? I remember when it first came out, this was my jam﻿",ham
225,Check out my channel im 15 year old rapper!,spam
226,is that Megan fox﻿,ham
227,wtf. subscribe my channel thanx ;),spam
228,Hey check out my channel!!!! Please,spam
229,So he&#39;s admitting he killed his girlfriend???﻿,ham
230,check out you tube keithlinscotts one word keithlinscotts you tube .com,spam
231,Check out my mummy chanel!,spam
